"CustomerID","strategic_priority","pred_sensitivity","business_value"
3000826,"Maintain (Standard)",-0.0169534200467295,-0.856656314961242
3000830,"Maintain (Standard)",-0.0176011552868598,-0.413627149241206
3000834,"Protect (High Value, Negative Sensitivity)",-0.0140079985786093,-1.07917621049606
3000838,"Protect (High Value, Negative Sensitivity)",-0.0176606320379132,-2.94614663656468
3000842,"Protect (High Value, Negative Sensitivity)",-0.0151546471550075,-1.69141016897039
3000854,"Protect (High Value, Negative Sensitivity)",-0.0141415991677467,-1.5796166270373
3000886,"Protect (High Value, Negative Sensitivity)",-0.01500885378915,-1.22472246919464
3000894,"Protect (High Value, Negative Sensitivity)",-0.0172097809148674,-1.47281305069435
3000906,"Maintain (Standard)",-0.0114489848440579,-0.585501084925121
3000910,"Maintain (Standard)",-0.0143593819949994,-0.811017895077566
3000918,"Protect (High Value, Negative Sensitivity)",-0.0123982134691102,-1.08509164281653
3000930,"Protect (High Value, Negative Sensitivity)",-0.0147937908008392,-1.53115734788685
3000946,"Protect (High Value, Negative Sensitivity)",-0.00973091539549081,-1.21169358504652
3000950,"Protect (High Value, Negative Sensitivity)",-0.0137297427782325,-1.84390445511663
3000958,"Protect (High Value, Negative Sensitivity)",-0.0145112633388929,-1.08834475041697
3000974,"Maintain (Standard)",-0.0158985303005514,-0.546909442338968
3000982,"Maintain (Standard)",-0.0136439760337063,-0.732545073249691
3000986,"Protect (High Value, Negative Sensitivity)",-0.0220854390197652,-2.98484708352127
3000998,"Protect (High Value, Negative Sensitivity)",-0.0178749727864426,-1.69794366498418
3001014,"Protect (High Value, Negative Sensitivity)",-0.0166128135007093,-1.38949572119933
3001018,"Protect (High Value, Negative Sensitivity)",-0.0184108420907198,-1.92301245637568
3001046,"Protect (High Value, Negative Sensitivity)",-0.0127157057889711,-1.01573057842301
3001050,"Protect (High Value, Negative Sensitivity)",-0.019512018394214,-1.88193417412194
3001054,"Protect (High Value, Negative Sensitivity)",-0.0153216539438152,-1.19217789336826
3001058,"Maintain (Standard)",-0.0118102805965931,-0.597363992575677
3001082,"Protect (High Value, Negative Sensitivity)",-0.0141359724629412,-0.894807056904177
3001094,"Protect (High Value, Negative Sensitivity)",-0.0155948190958553,-1.8869731105985
3001098,"Protect (High Value, Negative Sensitivity)",-0.0159582298925816,-1.998449129448
3001114,"Protect (High Value, Negative Sensitivity)",-0.0139268536312905,-4.4074313686945
3001150,"Maintain (Standard)",-0.0164533984161907,-0.331042376133757
3001154,"Maintain (Standard)",-0.0143574778452594,-0.717730317484516
3001170,"Protect (High Value, Negative Sensitivity)",-0.0140750162194114,-1.17526385432085
3001174,"Maintain (Standard)",-0.0126896548584324,-0.380562749204389
3001178,"Maintain (Standard)",-0.0132715310956774,-0.712548504526917
3001182,"Protect (High Value, Negative Sensitivity)",-0.012389306400834,-0.947410260471775
3001190,"Maintain (Standard)",-0.0166418914895956,-0.166418914895956
3001198,"Protect (High Value, Negative Sensitivity)",-0.0192302599864285,-3.11299448660304
3001206,"Protect (High Value, Negative Sensitivity)",-0.0175754318081832,-1.62221235589531
3001214,"Protect (High Value, Negative Sensitivity)",-0.016896185504738,-1.66968105157821
3001218,"Maintain (Standard)",-0.0163484431547076,-0.577100043361179
3001226,"Protect (High Value, Negative Sensitivity)",-0.0120476408815084,-1.26945991968454
3001230,"Maintain (Standard)",-0.0141545879969613,-0.67234292985566
3001238,"Protect (High Value, Negative Sensitivity)",-0.0146074388841873,-1.54444451322512
3001246,"Maintain (Standard)",-0.0116527983417765,-0.601517450402501
3001270,"Protect (High Value, Negative Sensitivity)",-0.0103592807556954,-5.48658586663894
3001282,"Protect (High Value, Negative Sensitivity)",-0.013293123755267,-1.02144362935471
3001286,"Protect (High Value, Negative Sensitivity)",-0.0135467239930285,-1.09687824171552
3001294,"Protect (High Value, Negative Sensitivity)",-0.0151861436519178,-1.50980640187366
3001298,"Protect (High Value, Negative Sensitivity)",-0.0132207648422594,-1.38791589314039
3001302,"Maintain (Standard)",-0.0166515328951258,-0.588465172513747
3001306,"Maintain (Standard)",-0.013817877584804,-0.442448440265424
3001310,"Protect (High Value, Negative Sensitivity)",-0.0151528940359447,-1.12267791912314
3001314,"Protect (High Value, Negative Sensitivity)",-0.0175654266967505,-1.36395538300268
3001318,"Maintain (Standard)",-0.0157597630637311,-0.36625689360111
3001322,"Protect (High Value, Negative Sensitivity)",-0.0127916267097309,-0.987897330792521
3001326,"Protect (High Value, Negative Sensitivity)",-0.0171855473113164,-1.91429811500754
3001330,"Protect (High Value, Negative Sensitivity)",-0.0122353007070565,-0.957412280327169
3001350,"Maintain (Standard)",-0.014734725249254,-0.562424462764026
3001358,"Protect (High Value, Negative Sensitivity)",-0.0101200435717517,-0.801406250447017
3001366,"Protect (High Value, Negative Sensitivity)",-0.0189751334767216,-1.72521913570353
3001370,"Protect (High Value, Negative Sensitivity)",-0.0151640549241889,-2.20106257224602
3001374,"Maintain (Standard)",-0.0103349326601193,-0.534522717181371
3001378,"Protect (High Value, Negative Sensitivity)",-0.0168584640876866,-1.4771386233631
3001386,"Protect (High Value, Negative Sensitivity)",-0.0175970569515911,-2.27758708124443
3001402,"Protect (High Value, Negative Sensitivity)",-0.0142170853777133,-0.954535112259673
3001406,"Protect (High Value, Negative Sensitivity)",-0.0152248729396957,-0.989312243621424
3001410,"Protect (High Value, Negative Sensitivity)",-0.0152600438905563,-1.5113547469207
3001414,"Maintain (Standard)",-0.0168281526117023,-0.168281526117023
3001418,"Protect (High Value, Negative Sensitivity)",-0.010603199001627,-0.724304523801137
3001422,"Maintain (Standard)",-0.0139464077448565,-0.686163261046939
3001426,"Protect (High Value, Negative Sensitivity)",-0.0118455605716668,-0.880954339714862
3001434,"Maintain (Standard)",-0.0147922263441103,-0.295844526882206
3001438,"Protect (High Value, Negative Sensitivity)",-0.013486168507201,-1.12838771899751
3001442,"Protect (High Value, Negative Sensitivity)",-0.0117879854754848,-1.13518300128919
3001454,"Protect (High Value, Negative Sensitivity)",-0.00872030086770632,-0.828428582432101
3001458,"Protect (High Value, Negative Sensitivity)",-0.011013547591716,-1.23417814312769
3001470,"Protect (High Value, Negative Sensitivity)",-0.0115806627278854,-0.999411193416509
3001474,"Protect (High Value, Negative Sensitivity)",-0.0143571914009555,-0.946138913322968
3001486,"Maintain (Standard)",-0.0173239130900034,-0.667490371357832
3001502,"Protect (High Value, Negative Sensitivity)",-0.0142140957065992,-1.13542196504314
3001510,"Maintain (Standard)",-0.0135995200824998,-0.693303533805841
3001518,"Maintain (Standard)",-0.0158004280600202,-0.820042216315048
3001522,"Protect (High Value, Negative Sensitivity)",-0.0195617474668144,-2.63242435660922
3001530,"Protect (High Value, Negative Sensitivity)",-0.0185513954816719,-1.43328081491397
3001534,"Protect (High Value, Negative Sensitivity)",-0.0148789112663125,-1.10416400507305
3001550,"Maintain (Standard)",-0.0175351121044398,-0.502907015155332
3001562,"Maintain (Standard)",-0.0162946513090013,-0.634350775459421
3001566,"Maintain (Standard)",-0.0142294313875377,-0.297110527371788
3001578,"Protect (High Value, Negative Sensitivity)",-0.0174507009140572,-1.63513067564716
3001594,"Protect (High Value, Negative Sensitivity)",-0.0158399562331125,-1.97587614051845
3001598,"Protect (High Value, Negative Sensitivity)",-0.0146507732296626,-1.4113089852134
3001602,"Maintain (Standard)",-0.0124332025631009,-0.608978261540682
3001618,"Maintain (Standard)",-0.0145254901390435,-0.710151212897838
3001630,"Maintain (Standard)",-0.0168344935763253,-0.0841724678816266
3001634,"Protect (High Value, Negative Sensitivity)",-0.0160795281020178,-1.57965284074223
3001638,"Protect (High Value, Negative Sensitivity)",-0.0139683990489301,-1.54630177471656
3001642,"Maintain (Standard)",-0.0155831478872006,-0.707474914078908
3001646,"Maintain (Standard)",-0.015037104533672,-0.564793646284719
3001650,"Protect (High Value, Negative Sensitivity)",-0.0141383231535605,-1.24007232379879
3001654,"Protect (High Value, Negative Sensitivity)",-0.0203552446700869,-2.15928435460282
3001658,"Maintain (Standard)",-0.0172117712065211,-0.433908752116396
3001662,"Protect (High Value, Negative Sensitivity)",-0.0141833500306542,-1.0796366043334
3001678,"Protect (High Value, Negative Sensitivity)",-0.0117344996134671,-0.870934561311532
3001682,"Protect (High Value, Negative Sensitivity)",-0.0125259996926983,-1.15978231154694
3001686,"Protect (High Value, Negative Sensitivity)",-0.0119665992196836,-1.00016836278115
3001690,"Protect (High Value, Negative Sensitivity)",-0.0142167659470074,-1.0655466077282
3001706,"Protect (High Value, Negative Sensitivity)",-0.0160705440513184,-2.68538791097531
3001710,"Maintain (Standard)",-0.0169086446233642,-0.511655586303
3001730,"Protect (High Value, Negative Sensitivity)",-0.0151509016833737,-1.50918131668085
3001746,"Maintain (Standard)",-0.0173141099608535,-0.433545313419772
3001754,"Protect (High Value, Negative Sensitivity)",-0.014627669902282,-1.10687578150568
3001758,"Maintain (Standard)",-0.0150196449541344,-0.840799724532446
3001762,"Maintain (Standard)",-0.0169266913522131,-0.126950185141598
3001766,"Protect (High Value, Negative Sensitivity)",-0.0174696318804999,-3.34822964621661
3001770,"Maintain (Standard)",-0.0175845797762243,-0.656784054641978
3001782,"Protect (High Value, Negative Sensitivity)",-0.0183242813926418,-1.18741343424319
3001786,"Maintain (Standard)",-0.0173042991777627,-0.296595687906853
3001790,"Protect (High Value, Negative Sensitivity)",-0.0176020857656626,-2.18371476008811
3001794,"Protect (High Value, Negative Sensitivity)",-0.0164679639134783,-1.32204814297404
3001802,"Protect (High Value, Negative Sensitivity)",-0.0162140319571611,-1.62221389731397
3001814,"Protect (High Value, Negative Sensitivity)",-0.0155370919187258,-1.54718361326672
3001818,"Protect (High Value, Negative Sensitivity)",-0.0155325189764908,-0.94779430794547
3001826,"Protect (High Value, Negative Sensitivity)",-0.0139503526194741,-2.05711899726765
3001830,"Maintain (Standard)",-0.0146504535614177,-0.569609634467919
3001834,"Protect (High Value, Negative Sensitivity)",-0.0152342656522758,-1.07721492427242
3001838,"Maintain (Standard)",-0.0161440731988908,-0.707594728307385
3001842,"Protect (High Value, Negative Sensitivity)",-0.0130523587641659,-0.972661775105646
3001846,"Maintain (Standard)",-0.0144909633419396,-0.658324464624314
3001850,"Protect (High Value, Negative Sensitivity)",-0.0181107842513737,-3.69405666375269
3001858,"Protect (High Value, Negative Sensitivity)",-0.0157535321629112,-1.39009167805528
3001866,"Protect (High Value, Negative Sensitivity)",-0.0139850048623929,-1.44339235184757
3001870,"Protect (High Value, Negative Sensitivity)",-0.0150494396273896,-0.927346469839749
3001878,"Maintain (Standard)",-0.013845650819844,-0.804709225649332
3001882,"Protect (High Value, Negative Sensitivity)",-0.0168951615236717,-1.47106171386609
3001886,"Maintain (Standard)",-0.015445024480935,-0.46829314226195
3001890,"Protect (High Value, Negative Sensitivity)",-0.0161092872418684,-1.2484697612448
3001910,"Maintain (Standard)",-0.0133500695444463,-0.686861078061763
3001922,"Protect (High Value, Negative Sensitivity)",-0.0128974219416214,-1.20694074529693
3001930,"Protect (High Value, Negative Sensitivity)",-0.0140983624491003,-0.892426343028046
3001938,"Protect (High Value, Negative Sensitivity)",-0.0149163707879388,-1.26610155248024
3001942,"Protect (High Value, Negative Sensitivity)",-0.0132453700504044,-0.96227613416188
3001946,"Maintain (Standard)",-0.0152966209993328,-0.645517406171845
3001950,"Maintain (Standard)",-0.00594098238297143,-0.240728606158002
3001962,"Protect (High Value, Negative Sensitivity)",-0.0133428569078711,-1.56911997236564
3001974,"Protect (High Value, Negative Sensitivity)",-0.0210444383282307,-7.00232640933549
3001982,"Maintain (Standard)",-0.0146293458532974,-0.824802519208907
3001990,"Protect (High Value, Negative Sensitivity)",-0.0145393655180218,-1.28295361331024
3002034,"Protect (High Value, Negative Sensitivity)",-0.0140685908537865,-1.06808741761947
3002042,"Protect (High Value, Negative Sensitivity)",-0.0134089573365025,-1.24971482376203
3002050,"Protect (High Value, Negative Sensitivity)",-0.0174260550222929,-1.3839772898705
3002058,"Protect (High Value, Negative Sensitivity)",-0.0123392900982603,-1.60139306895222
3002062,"Maintain (Standard)",-0.0153998648315578,-0.528369362370746
3002070,"Protect (High Value, Negative Sensitivity)",-0.0168111034702181,-1.4181846887476
3002074,"Protect (High Value, Negative Sensitivity)",-0.016735016825606,-1.81859427843861
3002078,"Protect (High Value, Negative Sensitivity)",-0.0201455793831864,-2.28390433467184
3002090,"Protect (High Value, Negative Sensitivity)",-0.0187470275042975,-2.45811024636349
3002114,"Maintain (Standard)",-0.0134983031312331,-0.65318288852037
3002130,"Maintain (Standard)",-0.0128109623495066,-0.755590559373901
3002138,"Protect (High Value, Negative Sensitivity)",-0.0188247604285137,-2.6876110463789
3002146,"Maintain (Standard)",-0.0170067996921237,-0.514795826680583
3002158,"Protect (High Value, Negative Sensitivity)",-0.0159963661798753,-1.13590196243295
3002170,"Protect (High Value, Negative Sensitivity)",-0.0109443295904901,-0.856065460568134
3002178,"Maintain (Standard)",-0.0116667894112013,-0.665123664332583
3002186,"Protect (High Value, Negative Sensitivity)",-0.0153711973856677,-0.979606409388604
3002190,"Maintain (Standard)",-0.0136021370122575,-0.679970829242752
3002194,"Maintain (Standard)",-0.0146558196426934,-0.708315763331373
3002202,"Protect (High Value, Negative Sensitivity)",-0.0127738742294823,-1.06623528193489
3002214,"Maintain (Standard)",-0.0148226605033525,-0.741133025167623
3002218,"Protect (High Value, Negative Sensitivity)",-0.0180772307383808,-1.52137973894213
3002222,"Protect (High Value, Negative Sensitivity)",-0.0148226657761709,-1.25488688461063
3002234,"Protect (High Value, Negative Sensitivity)",-0.0152201003178079,-1.1428773328642
3002242,"Maintain (Standard)",-0.00856544058014515,-0.431012969992904
3002246,"Protect (High Value, Negative Sensitivity)",-0.014290394797252,-1.44090050740692
3002250,"Protect (High Value, Negative Sensitivity)",-0.013357113032732,-1.27293287201936
3002258,"Protect (High Value, Negative Sensitivity)",-0.0154106692621156,-1.60717869734604
3002262,"Protect (High Value, Negative Sensitivity)",-0.0171448375974332,-1.63338867790746
3002270,"Protect (High Value, Negative Sensitivity)",-0.0134450526077209,-1.07345300020043
3002274,"Maintain (Standard)",-0.0151585196962703,-0.838872479991599
3002278,"Protect (High Value, Negative Sensitivity)",-0.0199996994926772,-6.99449490357398
3002282,"Protect (High Value, Negative Sensitivity)",-0.0206101877822469,-1.91798407501589
3002286,"Protect (High Value, Negative Sensitivity)",-0.0185805279915739,-5.57824611363031
3002290,"Protect (High Value, Negative Sensitivity)",-0.0215003220989395,-3.51272262452474
3002302,"Maintain (Standard)",-0.0156933492885163,-0.627577038047769
3002310,"Maintain (Standard)",-0.0173380572371076,-0.586893237476091
3002330,"Protect (High Value, Negative Sensitivity)",-0.0162248458471956,-1.52464876426097
3002334,"Protect (High Value, Negative Sensitivity)",-0.017625470905366,-1.92981280942852
3002350,"Protect (High Value, Negative Sensitivity)",-0.0175818026148788,-2.53582339114397
3002366,"Protect (High Value, Negative Sensitivity)",-0.0141656991499475,-2.12995452418611
3002370,"Protect (High Value, Negative Sensitivity)",-0.020716355919241,-2.12280499104463
3002378,"Protect (High Value, Negative Sensitivity)",-0.0151827122494644,-1.18546617243818
3002390,"Protect (High Value, Negative Sensitivity)",-0.0158245963025451,-1.09696101569243
3002398,"Protect (High Value, Negative Sensitivity)",-0.0164584233084892,-1.46562259562096
3002402,"Protect (High Value, Negative Sensitivity)",-0.0201760646484307,-5.57162025266415
3002418,"Maintain (Standard)",-0.0173042991777627,-0.0872136678559241
3002422,"Maintain (Standard)",-0.0177687616100093,-0.216956579258213
3002426,"Maintain (Standard)",-0.0152201003178079,-0.61245683678859
3002430,"Maintain (Standard)",-0.0151510074091544,-0.809366815797027
3002438,"Maintain (Standard)",-0.0150200286125505,-0.65532384836558
3002454,"Maintain (Standard)",-0.0158158399474048,-0.553396239759693
3002458,"Protect (High Value, Negative Sensitivity)",-0.0124256794043885,-1.14689020902506
3002466,"Maintain (Standard)",-0.0145142508988793,-0.440072087254021
3002470,"Maintain (Standard)",-0.014605940599273,-0.747532039870792
3002494,"Protect (High Value, Negative Sensitivity)",-0.0170351259327712,-3.08012111990436
3002506,"Maintain (Standard)",-0.0147454141572992,-0.369372624640344
3002510,"Maintain (Standard)",-0.0173339581758397,-0.449469535499524
3002518,"Protect (High Value, Negative Sensitivity)",-0.018896476822999,-4.45994645976422
3002522,"Protect (High Value, Negative Sensitivity)",-0.0159993300951672,-1.35690318537113
3002526,"Protect (High Value, Negative Sensitivity)",-0.0168619686201457,-1.86712578530874
3002542,"Protect (High Value, Negative Sensitivity)",-0.0183287404874858,-1.85431867511894
3002554,"Protect (High Value, Negative Sensitivity)",-0.0152610768559759,-1.30527990349162
3002582,"Maintain (Standard)",-0.0158019113140824,-0.318882570318182
3002598,"Protect (High Value, Negative Sensitivity)",-0.0209891619261874,-1.85502213103644
3002606,"Protect (High Value, Negative Sensitivity)",-0.00826699798080702,-4.62778279967596
3002610,"Protect (High Value, Negative Sensitivity)",-0.0166257166918542,-1.38591974343297
3002618,"Maintain (Standard)",-0.0151600747183241,-0.454802241549722
3002630,"Protect (High Value, Negative Sensitivity)",-0.0136795956939839,-1.02282337003917
3002638,"Maintain (Standard)",-0.0145849598114335,-0.296512232966442
3002646,"Protect (High Value, Negative Sensitivity)",-0.013864711262086,-1.04997458387777
3002654,"Maintain (Standard)",-0.0136123938680155,-0.558516520404676
3002658,"Protect (High Value, Negative Sensitivity)",-0.0144449695387697,-1.39162836536507
3002662,"Protect (High Value, Negative Sensitivity)",-0.018638651526086,-2.35238420910731
3002674,"Protect (High Value, Negative Sensitivity)",-0.0181558125654001,-1.41361156634205
3002682,"Protect (High Value, Negative Sensitivity)",-0.0108219330801779,-0.98869180620505
3002686,"Maintain (Standard)",-0.0155660307079569,-0.315056461529048
3002694,"Protect (High Value, Negative Sensitivity)",-0.0169680453894223,-1.10088678486572
3002698,"Protect (High Value, Negative Sensitivity)",-0.0156783136003981,-0.973936840856731
3002702,"Maintain (Standard)",-0.013790931446706,-0.784703999317574
3002734,"Maintain (Standard)",-0.0146112267340484,-0.348623869874394
3002738,"Protect (High Value, Negative Sensitivity)",-0.0202264652118014,-2.21135944160625
3002754,"Protect (High Value, Negative Sensitivity)",-0.0158348735746521,-3.48288044274473
3002758,"Maintain (Standard)",-0.0137827243540931,-0.757912012231582
3002762,"Maintain (Standard)",-0.0143340930310589,-0.501693256087061
3002770,"Maintain (Standard)",-0.0159903369248495,-0.479710107745484
3002774,"Protect (High Value, Negative Sensitivity)",-0.00959049759629027,-1.49017151651158
3002778,"Maintain (Standard)",-0.0167385028650655,-0.0836925143253275
3002782,"Protect (High Value, Negative Sensitivity)",-0.0146286523043074,-0.941938921874356
3002786,"Protect (High Value, Negative Sensitivity)",-0.0124802507029597,-0.86126210101125
3002794,"Maintain (Standard)",-0.0158589298734235,-0.506375630858411
3002802,"Protect (High Value, Negative Sensitivity)",-0.0182393311880668,-2.3926354652506
3002806,"Maintain (Standard)",-0.0177784802716281,-0.64446990984652
3002814,"Protect (High Value, Negative Sensitivity)",-0.0153574606029913,-4.79552064789006
3002818,"Protect (High Value, Negative Sensitivity)",-0.0206257067303988,-2.07721492481846
3002834,"Protect (High Value, Negative Sensitivity)",-0.0133098983938873,-1.24993255816996
3002850,"Maintain (Standard)",-0.0140662727151374,-0.421847518726971
3002858,"Protect (High Value, Negative Sensitivity)",-0.0195044964022976,-2.42031295856111
3002866,"Maintain (Standard)",-0.0146034434876113,-0.464243468471163
3002870,"Protect (High Value, Negative Sensitivity)",-0.018270789401973,-1.24405805038034
3002874,"Protect (High Value, Negative Sensitivity)",-0.0163107461171099,-1.77526160738624
