"Churn_flag","CustomerCareCalls","DroppedBlockedCalls","MonthlyRevenue","MonthlyMinutes","OverageMinutes","PercChangeMinutes","PercChangeRevenues","MonthsInService","CreditRating_num"
0,0.7,19.6,97.83,1670,0,240,-8.4,52,3
0,0,5.4,55.51,516,30,-45,-5.5,54,1
0,0.3,11.7,70.19,797,43,-9,-9.4,49,5
1,6.3,6,30.86,181,0,-146,-0.9,49,6
0,0,8,104.75,1166,0,-119,-1.9,49,1
0,4.7,30.4,260.81,3210,0,-422,-21.2,53,3
1,0.7,0,36.39,66,0,-66,-6.4,51,1
0,0,6,50,154,0,-47,0,51,3
1,11.3,30.6,106.33,2206,107,-102,-21.2,53,3
0,2,19,122,1806,146,-156,-32.8,49,6
0,0.7,6,34.99,44,0,-35,0,51,3
0,4,24.7,120.38,1730,183,474,27.4,55,6
1,0,0,27.25,0,0,0,-0.2,49,1
0,0,3.3,96.04,545,111,NA,NA,53,1
1,1,41,83.83,790,0,-60,0.9,51,1
0,2.7,2.4,30.32,219,0,-58,-59,51,1
1,0,0,30,18,0,-12,0,55,3
0,0.3,18.7,108.72,1228,0,-12,-0.7,55,1
0,0,1.7,32.27,112,0,-2,-0.3,49,1
0,0,3,43.72,245,30,53,7,51,1
0,0.3,5.6,65.94,572,45,-119,-15.6,51,3
0,3,8.7,32.5,295,7,41,6.4,53,1
0,0,0,79.39,848,64,-80,4.6,53,3
1,2,27,90.9,1710,156,-922,-15.9,55,3
0,0,7.7,103.16,866,216,-100,-48.2,49,3
1,0,49.3,164.14,1410,0,-520,-69.7,51,3
1,1,15.3,117.12,490,140,506,133.8,51,6
1,0,1,8.07,34,32,5,-2.3,49,1
0,0,0,41.29,71,0,-21,-1.3,53,1
1,0,34.7,180.22,3559,99,-149,-11.4,55,3
1,1.3,3.7,41.09,340,6,-154,-4.1,49,3
0,3.3,3.6,46.94,287,62,-57,-14,55,7
1,0,0,13.25,0,0,0,0,55,1
1,1.3,119.7,44.96,3584,1094,-1037,124.9,51,1
1,0,0,28.73,50,0,-12,-0.2,51,1
0,1.7,4.7,50.31,485,8,135,1.2,53,4
0,0,0.7,50.53,194,144,102,19.9,49,1
1,0,0.3,23.5,18,18,-18,-18.5,53,1
1,1.7,12.6,77.04,501,97,-113,6,53,4
0,0,23.7,166.82,3206,537,265,3.4,49,1
0,0,8.3,111.61,1161,32,-43,-6.6,55,1
1,0,6.3,111.7,143,0,-36,-3.2,53,2
0,0,3.3,81.6,149,50,74,17.4,53,1
1,0,25.6,85.58,890,0,-217,18.3,49,1
1,0.3,4.3,51.14,438,3,73,2.1,53,2
1,0,9.3,56.48,355,0,-171,-1.5,49,3
0,1.3,13.7,87.52,699,0,-86,-3.1,55,4
0,0,11.3,103.5,479,0,-166,-14.2,53,3
1,2,7,124.52,594,0,134,-40.5,51,5
0,0,7.3,134.3,731,0,-4,-1.1,55,3
0,0,0,75,2,0,-2,0,55,1
0,0,4.6,34.4,399,0,151,1.1,51,1
0,0.3,0.7,53.69,144,0,72,-0.4,49,1
1,0.3,58.7,135.15,2489,443,-1597,-50.2,55,1
0,0.3,28.4,94.99,1204,0,-784,-6.6,51,2
0,0,17,83.64,838,0,-111,2.7,51,1
1,0,57.3,104.45,1250,0,-538,2.7,48,1
1,0.3,17.6,79.88,1086,6,112,4.9,51,1
0,0,11,96.45,1027,238,-159,-28.9,53,1
0,0.7,9,77.81,503,24,-126,-12.9,53,1
0,0,2.3,50.58,432,6,139,1.7,55,2
1,0,6.7,63.3,415,88,156,38,50,3
0,3.3,25,121,1333,229,-233,-46,54,3
1,6,2.7,125.23,1104,250,-431,-34.2,54,1
1,5.3,42.3,316.47,3148,1306,997,14.3,50,1
1,0,16.7,112.56,1107,0,-1107,-26.3,50,6
0,0,0,20.12,12,0,6,3.4,54,1
0,0,4.7,49.99,772,0,-512,0,52,4
0,2,5,83.5,1130,30,90,10,48,1
1,3.7,0.3,29.99,46,0,20,0,52,1
0,0,7.6,53.69,478,0,32,-0.4,48,1
0,1,12.3,76.47,1262,1,-65,-0.3,48,3
1,0,0,10,0,0,0,0,54,1
0,0,15,161.88,2746,532,-359,-47.3,48,2
0,0.3,8.3,92.3,1622,0,-355,4.7,48,1
0,0,6,98.82,1684,198,39,-10.9,50,1
0,0,3.3,35.3,307,0,204,-0.3,48,1
0,0,11,105.37,1206,0,134,9.9,50,4
1,0,2,47.5,430,0,-30,-7.5,54,1
0,4.7,26.4,105.73,1611,47,-254,-11.7,48,1
0,3,7,51.62,409,0,18,-1.6,50,1
0,5.3,71.7,529.63,5863,1565,106,-63.6,52,1
0,1.3,18.7,76.84,1461,0,112,-1.6,48,1
0,2,7,80.97,1270,0,328,0.2,52,1
0,0.3,13.7,99.42,1239,52,635,69.7,50,3
0,2,10,104.98,1122,0,86,-8.3,48,1
1,0,0,35.34,78,38,35,9,48,1
0,0.3,12.3,32.02,362,2,38,-1.2,48,1
0,1,3,74.09,457,32,-63,-14.1,52,1
0,0,4,77.65,1051,264,-341,-27.6,52,3
1,2,1,23.24,5,0,1,0,50,1
1,1.7,39.4,77.23,866,0,-4,0.7,48,3
0,0.3,8.3,111.39,767,0,-243,2.7,48,1
0,0,1.3,78.25,130,0,-17,0,52,5
1,1.3,5.7,63.48,439,90,-17,12.4,50,6
1,0,1.6,38.17,214,0,202,14.6,48,3
0,4.7,22.3,79.19,1149,0,-280,-0.2,54,5
0,0,38.7,90.92,1560,69,-363,-6,48,1
0,0,16.7,145.15,1134,0,-50,2.3,50,1
0,3.7,8.7,51.72,764,4,-16,-1.7,48,4
0,0,2.7,87.62,1066,50,-2,-12.6,50,1
0,0.7,32,129.43,1388,98,548,58.9,48,1
0,3,0.7,67.14,698,158,322,20.7,54,3
1,0.7,7,64.98,311,0,-66,-1,48,1
0,4.7,32,99.04,1112,247,-265,-29,48,3
1,0,0,10,6,0,-6,0,54,1
0,1.3,8.6,68.31,378,0,14,6.4,48,4
0,0.3,0,49.2,173,0,-120,-8.9,50,3
0,0.3,5,74.37,585,0,77,-34.8,52,3
0,0.7,0,20,16,0,24,0,50,1
0,0,17,83.67,1141,0,-28,-7.8,52,3
0,1.3,17.7,96.3,1028,0,84,-7.3,50,3
0,3.7,23.4,95,1592,7,210,-0.3,52,4
0,7.7,48.7,112.06,2311,96,-131,-25.8,50,3
1,0,7.3,86.3,414,0,188,16.1,48,5
0,0,10.3,65.9,889,33,-162,-10.7,54,3
1,0,1.7,38.53,162,0,-58,1,52,1
0,0,11.6,79.88,1130,0,-40,-4.9,52,1
1,0,15,50.98,256,0,100,0,52,1
0,0,5,51.9,202,37,-138,-0.2,54,1
0,0,13.7,134.57,2058,353,-98,-26.6,48,1
0,0,1.3,77.26,428,112,1038,119.5,48,1
1,0,7.7,74.21,651,0,-5,0.2,52,1
1,0,0.7,28.68,73,22,5,1.9,50,1
0,0.3,3.6,38.93,147,8,6,-6.9,48,1
0,0,1,20.88,3,0,0,27.6,54,4
0,0.7,15.3,93.7,1509,64,-148,-6.5,50,1
1,1,3,124.74,411,0,-79,-12.9,50,1
1,0,31.6,96.33,1852,44,12,-7,52,1
0,0,12,48.98,482,34,244,42,50,4
0,1.3,38.7,187.35,1363,306,-703,-97.2,52,6
1,0,0.6,48.89,45,0,-45,-13.9,48,1
1,0,0,5,0,0,0,0,52,1
0,1,25.4,98.24,930,0,-208,0,52,1
0,6,40.3,110.7,2185,39,-405,-25.9,48,1
0,0,5,45.4,289,30,-3,-10.4,52,1
0,0.7,4,37.56,430,0,115,-7.6,54,1
0,0.3,23.7,87.71,1730,32,-29,-10.5,48,3
0,0,11,106.08,752,182,-263,-55.1,48,1
1,0,0,25.21,0,0,0,-0.2,48,1
0,0,13,76.12,577,1,-99,-1.1,52,1
1,0.7,5.7,74.22,750,85,50,73.5,50,4
0,0,9.3,92.59,608,1,-76,-35.5,50,4
0,0,17.3,83.58,879,5,45,-3.2,54,1
1,0.7,21.4,74.95,692,0,-282,-49.8,50,3
0,0,26.3,167.1,1790,0,-54,4.1,54,1
0,0,9,30.26,188,0,10,-0.3,48,1
1,0.7,1,30.48,47,0,-7,0.5,52,6
0,0,24,99.61,1514,0,274,-15.8,50,1
1,0,2.7,25.04,44,12,-16,-5,50,1
0,0,9,75.67,938,0,-37,-0.7,48,1
1,0,15.7,55.98,403,0,-56,3,54,1
1,0,0,7.5,3,0,-3,2.5,52,1
1,0,0,191.66,1764,215,131,33,54,1
0,0,5.3,37.35,114,13,-58,-4.9,48,1
1,1,3,64.8,479,139,-337,-13.3,47,1
1,0,0,17.14,3,0,0,-0.2,47,1
0,0,54.7,124.06,2955,421,262,20,52,1
0,0,0,80.28,1245,73,-160,-62.1,50,3
0,0,15.4,100.05,820,0,2,-16.1,47,1
0,0,11.7,99.58,1058,0,-48,-20.9,47,1
0,0,2,61.02,134,0,-12,0,47,1
0,4.3,45.3,147.46,3280,546,286,0.7,53,1
0,0,1,38.88,227,4,125,2,53,1
1,0.3,4.7,70.71,369,0,-7,-5.3,47,1
1,0,7.4,43.83,409,16,-289,-1.3,47,1
0,5.3,17,74.52,817,98,-137,-34.6,51,3
1,0,2.3,45.43,542,32,-242,-7.2,47,4
0,0.7,64.4,203.97,2845,1083,-450,-14.9,53,1
0,0,6.7,97.54,482,20,-186,-7.8,51,7
0,0,6.7,88.24,631,0,-4,0,53,1
0,0.3,26,103.21,1526,0,92,4.3,53,1
1,0,7,61.62,674,30,169,10.3,47,1
0,0,3.3,58.12,410,0,85,9.7,49,1
1,0,11.7,87.07,196,42,-68,141.9,53,1
0,0,1,30.32,51,0,19,0.7,49,1
1,0,7,77.5,655,37,-158,-9,51,1
0,0,7.7,51.45,509,0,33,-0.5,47,1
0,0,18,93.58,1804,26,205,13,49,4
1,0,4.7,63.3,381,0,108,-10.3,47,1
0,0,16.4,84.88,781,0,-137,0.5,51,3
1,0.7,4.6,72.65,493,7,220,3.1,47,1
1,0,0,42.2,64,0,-58,-22.2,51,1
0,20,19,40.52,835,28,-93,-39.5,51,1
0,1,17.4,117.6,1410,0,60,-36.5,53,1
0,0,33,332.74,2935,470,-774,-19,49,1
0,0.7,9.4,56.38,604,20,-24,-1.1,47,1
0,0,11.6,88.24,454,0,-96,0,53,3
0,0.3,1.6,50,306,0,-25,0,49,6
0,0,6.3,75.92,805,0,97,-0.9,47,1
0,2,19.7,93.2,1032,0,250,-11.5,51,1
0,0,10.4,79.42,832,0,-832,-4.4,49,1
1,0,52,129.78,928,0,193,19.7,49,4
0,1,8.7,34.31,308,0,-166,1.2,53,3
0,0,14.7,84.36,1269,0,-104,-3.2,49,1
0,0,27.3,108.67,1314,0,-208,-24.2,53,1
0,0,22,113.37,1859,120,-111,-23.6,47,1
0,3,59.3,131.12,2982,215,-414,-38,49,1
1,0,1,48.39,49,13,89,-0.9,49,1
0,0,3,58.98,785,10,55,2.9,53,1
0,0,29.7,142.77,1128,250,-5,15.3,53,1
0,0,3.6,30.27,204,0,-23,-0.3,47,1
0,0,12.6,71.01,712,69,-382,-20,51,3
0,1,12.4,78.22,1273,0,41,-1.3,49,3
0,0,3.7,57.01,384,0,42,6.8,47,3
0,0,14,63.73,974,62,-144,-15.6,49,3
0,0,8.3,49.99,514,0,136,0,53,1
0,0.3,0,48.33,7,0,-6,1.7,53,1
0,0,9,83.47,827,0,195,-0.2,53,3
1,0,0,50,0,0,0,0,51,1
1,0,10,84.16,1038,316,232,18.7,49,1
0,1.3,18.3,84.66,1643,0,0,-2.5,51,1
0,0,11.7,75.09,778,0,-94,-0.1,53,1
0,9.7,15.7,50.32,675,21,198,20.1,47,2
0,2.7,44,100.83,2487,92,-548,-17.9,51,5
1,1,16.3,95.3,894,30,146,-10,47,3
0,0,7.7,104.29,1005,2,-145,1.9,51,1
0,1,20,95.27,815,0,-350,-7,47,1
0,0,11.7,79.84,596,8,-38,-0.9,53,1
1,0.7,11.4,55.34,144,0,-137,-55.3,51,1
0,0,75,349.73,3252,668,-435,-144.3,47,1
0,0.3,30,93.06,2008,118,-351,-12.1,47,1
0,0,44.3,300.22,4830,1887,-932,-75,51,1
0,0,22.3,163.38,1054,360,-918,-67.4,49,1
0,0,3.3,39.99,214,0,150,0,53,1
1,1.7,9.7,33.85,323,36,-323,-83.8,47,3
0,0.3,6,84.52,852,0,84,0.2,51,6
1,0,21,93.97,1218,11,-114,7.8,49,1
0,0.3,26.6,109.49,1638,19,-403,-18.3,49,1
0,0,7.4,144.23,1333,164,93,-58.3,53,1
0,0,17.6,150.36,1141,0,76,49.2,53,1
0,0,25,102.47,1656,102,-444,-26.5,51,1
0,0,2.7,78.08,524,0,-81,2.2,53,1
1,0,12,69.32,415,0,-121,-9,47,1
1,0,11.3,89.05,1615,348,37,4.3,51,1
0,0,15,276.15,1680,700,-709,-126.2,53,1
1,0,0,5.04,0,0,0,0,47,1
0,0,1,12.21,126,0,-16,-12.2,47,1
0,0,0,40.24,420,0,-94,-0.2,53,1
1,0,0.3,53.42,77,0,-70,-23.5,53,1
0,0,12,43.63,477,38,-131,-13,47,3
0,0,14,97.85,794,5,-44,-5.8,51,6
1,1,3,34.99,419,0,-22,0,53,1
0,1.7,12,92.3,930,0,351,5.8,49,3
1,0,0.7,30.32,94,0,46,0.7,53,1
0,0,10.4,51.18,312,0,-46,-0.2,47,1
0,1,20.6,180.81,1412,389,120,27.1,47,1
0,0,0,25.05,16,0,34,0.2,53,1
0,0,0.3,25.93,2,0,-1,-8.9,47,1
0,0.3,6,236.02,1494,650,770,169,47,1
0,0,12.3,84.81,1065,30,-29,-8.8,53,1
0,0,41.7,110.73,2119,8,-294,27.1,47,1
0,2.7,10.6,81.37,995,22,42,-6.4,49,6
0,0,0,195.16,2571,216,-475,-34,47,6
0,0.7,33.6,101.17,984,86,-736,-22.5,49,3
0,0,0,85.53,1023,18,-31,-6.6,51,1
0,0,0.7,20.18,8,0,-1,-0.2,47,3
1,0,2,88.38,560,103,-560,-13.4,51,1
0,0,88.4,559.79,6336,4321,136,97.3,51,1
1,2,10.3,83.36,1059,209,-255,-18.2,47,4
0,0,3.3,30,119,0,34,0,49,1
0,0,5,74.77,264,0,-72,-18.8,53,3
1,0,1,20.33,26,0,-26,-0.3,47,4
0,0,9.3,75.73,411,0,92,13.5,49,1
0,0,1.7,41.03,220,17,100,18.1,51,1
0,0,10.3,96.34,750,0,92,3.4,51,1
0,0,8.7,126.21,395,127,-3,-74.6,49,2
0,0,29,77.86,1567,184,-96,15.4,49,1
0,6.7,50.3,91.36,934,48,148,7.4,47,1
0,0,0,20.24,0,0,0,0,49,3
0,0,12.7,64.88,637,90,-119,-7.9,51,1
0,2.7,51,62.12,765,121,109,3.9,49,1
0,0,1.3,56.9,166,2,-24,-1.9,47,1
1,0,0,23.86,67,0,-38,-4.5,53,3
0,0,0,109.33,2221,170,-733,-40.6,49,3
0,0,1.4,54.37,191,1,83,-13.6,47,6
0,0.7,46.7,219.95,3142,992,347,31,53,1
0,0,4.7,54.99,292,0,132,4.3,51,1
1,0,0,35,0,0,0,0,53,4
1,0,3,30,131,0,183,0,51,1
0,9.7,26.7,155.38,2777,176,-38,-40.8,51,3
1,0,0,5,0,0,0,0,53,1
0,0,11.3,64.39,545,7,-144,-4.4,53,1
0,0.3,17,69.01,682,4,77,4.7,51,1
0,0.7,1,31.93,377,6,-238,-1.9,53,2
0,0,16.4,131.18,1038,170,244,-3.7,51,1
1,0,1.3,36.25,39,18,-18,-9.2,51,1
0,0,0,312.26,2468,0,-321,-1.1,53,3
0,0,12,100.71,503,105,-284,-50.7,47,1
0,2.3,2.6,93.91,1222,145,130,45,53,4
0,0,5.6,29.99,149,0,83,0,51,3
1,1.3,54,124.09,2075,134,-144,3.1,46,1
0,0,0,31.79,8,0,-8,-1.8,53,4
1,0,16,68.09,1202,124,-95,-5,46,1
0,0,0,108.84,2021,218,317,9.7,46,4
1,0,10,72.62,690,13,12,-12.7,50,3
0,0,2.7,103.76,746,162,-723,-130.9,52,4
0,7,41,177.81,1791,0,-368,-57.8,46,3
1,1,29,226.87,2628,807,-164,-64.1,50,2
0,1,8,85.18,688,0,187,0.1,48,4
0,11.7,50.3,255.54,1943,643,-20,-115.1,50,6
1,0,38,84.35,1199,0,-149,-7.9,50,1
0,9,100.3,265.67,2613,962,-154,-52,46,1
1,0,2.3,41.99,36,0,-16,0,52,4
0,0,5,21.61,186,2,14,9.4,52,4
1,0,39.3,358.85,2326,808,36,7.5,46,1
0,0,1.6,30.26,148,0,24,-0.3,46,1
1,0,4,80.26,297,108,-67,-27.8,50,1
1,0,6.7,64.25,575,57,-35,-7.5,48,1
0,0.3,44,215.72,2912,978,124,-16.9,48,1
0,0.7,20.3,80.94,438,0,60,1.1,52,1
1,0,0,50.49,40,0,-40,-0.5,52,1
0,0,4,33.6,172,0,70,-1.6,52,1
0,0,7.3,58.74,735,0,-29,-0.5,46,6
0,0.7,9.4,128.1,842,132,-291,-38.2,46,1
0,0,0,7.74,0,0,0,-7.7,48,3
0,1.3,31,62.95,461,29,125,33.6,50,1
0,0.3,9.3,79.25,680,113,-142,-29.3,46,1
0,0.3,10.3,131.3,1262,0,233,-7.6,50,1
0,0.3,10,20.68,465,8,-48,-3.5,48,1
0,0,6,38.75,366,16,-54,-5.3,50,1
0,0,57,71.64,455,32,-189,-13.7,50,3
0,0.7,4,96.01,981,61,636,91.4,46,3
0,0,9.3,85.56,1344,0,-195,11.4,52,1
0,0,20.6,71.59,2584,0,-135,1.4,48,3
0,0,24.7,82.73,868,2,-41,2.4,52,1
1,0,33.3,106.57,969,112,-844,-78.2,52,3
1,0.7,5.4,36.83,328,19,-141,-6.8,46,1
0,0.3,8,55,358,0,160,0,48,2
1,0,16.4,64.81,842,7,26,-3.6,48,1
0,0,3.6,95.1,818,151,597,40.4,48,1
0,0.7,15.6,140.74,2072,0,-117,-24.2,52,2
0,0,16,112.34,938,0,-54,-24.7,48,3
0,0,6.6,79.28,658,0,42,0,48,4
1,0,0,30,81,0,70,0,52,1
0,0,4,43.74,82,0,16,-8.7,48,1
1,0,3,40,108,0,47,0,48,1
1,0,5.7,58.38,598,14,-153,-58.4,48,4
1,0.7,8.3,174.01,569,202,-54,-66.8,46,1
0,0,26,217.64,1995,363,24,21.9,50,2
0,0,4.3,69.61,457,76,30,0,46,3
0,0,5.3,62.31,430,0,-228,-3.5,48,1
0,0,19,91.15,1072,0,24,-13.2,48,1
1,0,2.3,26.73,33,3,5,1.8,46,1
0,0,3.4,36.34,247,7,154,14.1,52,1
0,0,1,57.59,187,0,-102,-22.2,52,1
1,0,2.7,102.22,282,41,-280,-53.5,46,1
0,0,1.3,37.6,148,0,-46,-1.6,52,1
0,0.7,6,12.4,240,4,-14,-2.7,50,5
1,0,1.3,53.24,69,0,-19,0,50,1
0,1,5.3,82.58,586,112,229,-6.4,46,2
1,1,5.3,117.21,339,6,-131,-76.6,50,6
1,2,16.3,71.62,368,29,-226,-18.4,46,6
0,0,0.7,37.19,116,3,-44,-3.9,50,3
1,0.3,8,75.11,374,0,111,0.3,48,1
0,0,2,37.61,75,0,34,0.6,46,1
0,0,6,59.6,533,41,-20,-10.1,46,1
1,0,17.7,156.87,1392,0,-90,1,50,1
0,0,3,15.56,79,0,-38,-5.6,52,1
0,3,9.3,64.95,411,78,-347,-71.7,50,1
0,0,15.3,92,660,91,-20,-28,46,3
1,0,2.6,44.2,196,4,6,8.6,48,1
1,0.3,16.3,50.09,1114,0,323,-0.1,52,3
0,0,3.7,118.5,185,0,41,5.4,48,1
0,0,8.7,84.05,647,130,208,43.9,52,1
0,0,22.7,80.3,2445,4,-438,-1.1,46,3
0,0,6,60.48,514,20,-116,-1.1,46,1
0,0,3.3,89.94,169,17,-132,-5,45,1
0,0,15.3,102.47,1155,0,-117,-1.7,52,1
0,0,0,17.14,0,0,0,-0.2,45,1
1,0,0.3,39.92,28,0,-19,-30.2,52,1
0,0,4,28.75,96,0,48,-0.3,45,1
0,0,9,45.85,400,68,16,9.4,45,1
0,0,2,78.05,410,0,-134,0.2,51,1
1,0,9,79.56,565,158,75,10.2,49,1
0,0.7,25.3,77.34,644,0,-344,-27.4,47,1
1,0.3,2,36.97,84,69,-84,-56.3,49,4
0,0,12.3,51.99,353,8,-57,-15,49,1
0,0,22,65.11,629,82,-29,4.6,47,3
0,0,0.7,34.26,68,0,-9,-0.3,45,1
0,0,0.7,20.38,9,1,27,1.2,49,1
0,0.3,4.6,52.85,662,0,NA,NA,49,1
0,0,4,80.39,532,0,-152,-6.4,45,1
1,0,5.4,55.04,389,13,-47,-5.6,51,1
0,2,5.7,81.87,600,92,189,-28.9,47,1
0,0,4.7,46.54,607,3,-148,-1.4,49,4
0,0,16,90.72,760,20,-362,-4.7,51,1
0,0,0,40.35,78,0,30,-0.4,45,4
0,0,0.7,32.36,144,6,-51,-1.7,47,1
1,0,7.7,99.48,730,146,448,130.3,49,2
0,0,9.7,74.44,392,10,-392,-73.6,47,3
0,0,5,32.23,124,4,-103,-2.2,45,5
0,0,4,131.07,238,134,-89,-55.9,45,1
1,0,7,37.02,295,11,-153,-5.5,47,1
0,0,0,30.34,28,0,4,-0.3,51,1
0,0.7,5.6,73.19,611,18,83,25.7,49,1
0,0,7,66.29,368,0,-73,-6.3,51,1
0,3.3,9,35.19,623,0,468,0.6,49,3
0,0,38.7,218.86,1428,234,435,10.9,49,3
0,5,14.7,144.56,2509,314,-2441,-149.7,51,5
0,1.3,2.6,60.55,83,52,68,18.9,45,1
0,1,7.6,73.47,626,47,-507,-53.5,45,3
1,0.7,0,11.62,1,0,-1,-1.6,45,2
0,14.3,9,127.93,934,150,44,-15.3,47,5
0,1,1.3,46.75,167,0,146,3.5,47,4
0,3.3,32.3,61.88,586,32,-74,-7.6,45,1
0,0,0.3,10.56,24,0,20,0.3,45,1
0,0,6.6,50.6,311,0,6,-0.6,45,1
0,0,12,98.16,1152,0,489,5.7,49,1
0,0,0.3,30.19,39,0,2,-0.2,51,3
0,0.7,15.3,105.57,815,44,270,20.7,45,1
0,19.3,38,222.69,1563,359,1536,277.2,45,3
0,0,0,83.46,785,0,48,9.4,45,1
1,0,0,60,0,0,0,0,49,3
0,0,0,208.28,3626,817,411,49.5,47,1
1,1.3,3.4,66.39,490,2,67,-13.3,47,1
0,0,12,127.59,1179,178,-346,-67.6,51,1
0,0,1.3,31.41,70,0,8,3.2,45,1
0,5.3,42,120.42,1298,101,11,-78.9,49,4
0,3,13.3,35.24,892,0,2,-0.2,49,1
1,0,0,39.99,0,0,0,0,51,4
0,9,8,191.79,615,63,54,-129.6,47,3
0,6.7,14.4,36.39,944,4,363,4.2,51,1
0,5.3,31.7,80.05,1288,26,10,11.9,51,3
0,6.7,6,85.17,881,14,66,-5.2,49,1
1,0,69.7,74.89,648,1,20,-0.9,47,6
0,0,36.3,150.5,817,285,301,85,47,1
0,0,1,75.67,274,0,-84,-0.7,45,3
0,0,4,29.99,107,0,-29,0,47,1
1,1.7,19.3,143.91,1996,253,642,90.8,49,1
0,0,3.3,31.57,122,40,74,23,45,1
1,0,4,38.13,138,23,56,17.4,49,1
0,0,5.4,32.89,46,0,0,-32.9,47,1
0,10.7,13.7,132.46,1148,88,390,103.8,49,3
0,0,0,50.07,2,0,6,1.9,45,4
0,20,65.6,60.19,939,40,-147,-9.2,47,1
0,0,4.4,82.01,811,126,-89,-30.2,45,3
1,0,3.3,46.85,564,24,78,-43.1,51,1
1,0,2.3,27.98,49,0,13,-11,44,1
1,0,42.3,178.4,2433,418,20,-26.9,44,1
