"DroppedBlockedCalls","CustomerCareCalls","OverageMinutes","MonthlyRevenue","MonthlyMinutes","PercChangeMinutes","PercChangeRevenues","MonthsInService","CreditRating_num","Churn_flag"
7.7,0,0,53.69,478,32,-0.4,48,1,0
12.3,1,1,76.47,1262,-65,-0.3,48,3,0
0,0,0,10,0,0,0,54,1,1
15,0,532,161.88,2746,-359,-47.3,48,2,0
8.3,0.3,0,92.3,1622,-355,4.7,48,1,0
6,0,198,98.82,1684,39,-10.9,50,1,0
3.3,0,0,35.3,307,204,-0.3,48,1,0
11,0,0,105.37,1206,134,9.9,50,4,0
2,0,0,47.5,430,-30,-7.5,54,1,1
26.3,4.7,47,105.73,1611,-254,-11.7,48,1,0
7,3,0,51.62,409,18,-1.6,50,1,0
71.7,5.3,1565,529.63,5863,106,-63.6,52,1,0
18.7,1.3,0,76.84,1461,112,-1.6,48,1,0
7,2,0,80.97,1270,328,0.2,52,1,0
13.7,0.3,52,99.42,1239,635,69.7,50,3,0
10,2,0,104.98,1122,86,-8.3,48,1,0
0,0,38,35.34,78,35,9,48,1,1
12.3,0.3,2,32.02,362,38,-1.2,48,1,0
3,1,32,74.09,457,-63,-14.1,52,1,0
4,0,264,77.65,1051,-341,-27.6,52,3,0
1,2,0,23.24,5,1,0,50,1,1
39.3,1.7,0,77.23,866,-4,0.7,48,3,1
8.3,0.3,0,111.39,767,-243,2.7,48,1,0
1.3,0,0,78.25,130,-17,0,52,5,0
5.7,1.3,90,63.48,439,-17,12.4,50,6,1
1.7,0,0,38.17,214,202,14.6,48,3,1
22.3,4.7,0,79.19,1149,-280,-0.2,54,5,0
38.7,0,69,90.92,1560,-363,-6,48,1,0
16.7,0,0,145.15,1134,-50,2.3,50,1,0
8.7,3.7,4,51.72,764,-16,-1.7,48,4,0
2.7,0,50,87.62,1066,-2,-12.6,50,1,0
32,0.7,98,129.43,1388,548,58.9,48,1,0
0.7,3,158,67.14,698,322,20.7,54,3,0
7,0.7,0,64.98,311,-66,-1,48,1,1
32,4.7,247,99.04,1112,-265,-29,48,3,0
0,0,0,10,6,-6,0,54,1,1
8.7,1.3,0,68.31,378,14,6.4,48,4,0
0,0.3,0,49.2,173,-120,-8.9,50,3,0
5,0.3,0,74.37,585,77,-34.8,52,3,0
0,0.7,0,20,16,24,0,50,1,0
17,0,0,83.67,1141,-28,-7.8,52,3,0
17.7,1.3,0,96.3,1028,84,-7.3,50,3,0
23.3,3.7,7,95,1592,210,-0.3,52,4,0
48.7,7.7,96,112.06,2311,-131,-25.8,50,3,0
7.3,0,0,86.3,414,188,16.1,48,5,1
10.3,0,33,65.9,889,-162,-10.7,54,3,0
1.7,0,0,38.53,162,-58,1,52,1,1
11.7,0,0,79.88,1130,-40,-4.9,52,1,0
15,0,0,50.98,256,100,0,52,1,1
5,0,37,51.9,202,-138,-0.2,54,1,0
13.7,0,353,134.57,2058,-98,-26.6,48,1,0
1.3,0,112,77.26,428,1038,119.5,48,1,0
7.7,0,0,74.21,651,-5,0.2,52,1,1
0.7,0,22,28.68,73,5,1.9,50,1,1
3.7,0.3,8,38.93,147,6,-6.9,48,1,0
1,0,0,20.88,3,0,27.6,54,4,0
15.3,0.7,64,93.7,1509,-148,-6.5,50,1,0
3,1,0,124.74,411,-79,-12.9,50,1,1
31.7,0,44,96.33,1852,12,-7,52,1,1
12,0,34,48.98,482,244,42,50,4,0
38.7,1.3,306,187.35,1363,-703,-97.2,52,6,0
0.7,0,0,48.89,45,-45,-13.9,48,1,1
0,0,0,5,0,0,0,52,1,1
25.3,1,0,98.24,930,-208,0,52,1,0
41.3,6,39,110.7,2185,-405,-25.9,48,1,0
5,0,30,45.4,289,-3,-10.4,52,1,0
4,0.7,0,37.56,430,115,-7.6,54,1,0
23.7,0.3,32,87.71,1730,-29,-10.5,48,3,0
11,0,182,106.08,752,-263,-55.1,48,1,0
0,0,0,25.21,0,0,-0.2,48,1,1
13,0,1,76.12,577,-99,-1.1,52,1,0
5.7,0.7,85,74.22,750,50,73.5,50,4,1
9.3,0,1,92.59,608,-76,-35.5,50,4,0
17.3,0,5,83.58,879,45,-3.2,54,1,0
21.3,0.7,0,74.95,692,-282,-49.8,50,3,1
26.3,0,0,167.1,1790,-54,4.1,54,1,0
9,0,0,30.26,188,10,-0.3,48,1,0
1,0.7,0,30.48,47,-7,0.5,52,6,1
24,0,0,99.61,1514,274,-15.8,50,1,0
2.7,0,12,25.04,44,-16,-5,50,1,1
9,0,0,75.67,938,-37,-0.7,48,1,0
15.7,0,0,55.98,403,-56,3,54,1,1
0,0,0,7.5,3,-3,2.5,52,1,1
0,0,215,191.66,1764,131,33,54,1,1
5.3,0,13,37.35,114,-58,-4.9,48,1,0
3,1,139,64.8,479,-337,-13.3,47,1,1
0,0,0,17.14,3,0,-0.2,47,1,1
54.7,0,421,124.06,2955,262,20,52,1,0
0,0,73,80.28,1245,-160,-62.1,50,3,0
15.3,0,0,100.05,820,2,-16.1,47,1,0
11.7,0,0,99.58,1058,-48,-20.9,47,1,0
2,0,0,61.02,134,-12,0,47,1,0
45.3,4.3,546,147.46,3280,286,0.7,53,1,0
1,0,4,38.88,227,125,2,53,1,0
4.7,0.3,0,70.71,369,-7,-5.3,47,1,1
7.3,0,16,43.83,409,-289,-1.3,47,1,1
17,5.3,98,74.52,817,-137,-34.6,51,3,0
2.3,0,32,45.43,542,-242,-7.2,47,4,1
64.3,0.7,1083,203.97,2845,-450,-14.9,53,1,0
6.7,0,20,97.54,482,-186,-7.8,51,7,0
6.7,0,0,88.24,631,-4,0,53,1,0
26,0.3,0,103.21,1526,92,4.3,53,1,0
7,0,30,61.62,674,169,10.3,47,1,1
3.3,0,0,58.12,410,85,9.7,49,1,0
11.7,0,42,87.07,196,-68,141.9,53,1,1
1,0,0,30.32,51,19,0.7,49,1,0
7,0,37,77.5,655,-158,-9,51,1,1
7.7,0,0,51.45,509,33,-0.5,47,1,0
18,0,26,93.58,1804,205,13,49,4,0
4.7,0,0,63.3,381,108,-10.3,47,1,1
16.3,0,0,84.88,781,-137,0.5,51,3,0
4.7,0.7,7,72.65,493,220,3.1,47,1,1
0,0,0,42.2,64,-58,-22.2,51,1,1
19,20,28,40.52,835,-93,-39.5,51,1,0
17.3,1,0,117.6,1410,60,-36.5,53,1,0
33,0,470,332.74,2935,-774,-19,49,1,0
9.3,0.7,20,56.38,604,-24,-1.1,47,1,0
11.7,0,0,88.24,454,-96,0,53,3,0
1.7,0.3,0,50,306,-25,0,49,6,0
6.3,0,0,75.92,805,97,-0.9,47,1,0
19.7,2,0,93.2,1032,250,-11.5,51,1,0
10.3,0,0,79.42,832,-832,-4.4,49,1,0
52,0,0,129.78,928,193,19.7,49,4,1
8.7,1,0,34.31,308,-166,1.2,53,3,0
14.7,0,0,84.36,1269,-104,-3.2,49,1,0
27.3,0,0,108.67,1314,-208,-24.2,53,1,0
22,0,120,113.37,1859,-111,-23.6,47,1,0
59.3,3,215,131.12,2982,-414,-38,49,1,0
1,0,13,48.39,49,89,-0.9,49,1,1
3,0,10,58.98,785,55,2.9,53,1,0
29.7,0,250,142.77,1128,-5,15.3,53,1,0
3.7,0,0,30.27,204,-23,-0.3,47,1,0
12.7,0,69,71.01,712,-382,-20,51,3,0
12.3,1,0,78.22,1273,41,-1.3,49,3,0
3.7,0,0,57.01,384,42,6.8,47,3,0
14,0,62,63.73,974,-144,-15.6,49,3,0
8.3,0,0,49.99,514,136,0,53,1,0
0,0.3,0,48.33,7,-6,1.7,53,1,0
9,0,0,83.47,827,195,-0.2,53,3,0
0,0,0,50,0,0,0,51,1,1
10,0,316,84.16,1038,232,18.7,49,1,1
18.3,1.3,0,84.66,1643,0,-2.5,51,1,0
11.7,0,0,75.09,778,-94,-0.1,53,1,0
15.7,9.7,21,50.32,675,198,20.1,47,2,0
44,2.7,92,100.83,2487,-548,-17.9,51,5,0
16.3,1,30,95.3,894,146,-10,47,3,1
7.7,0,2,104.29,1005,-145,1.9,51,1,0
20,1,0,95.27,815,-350,-7,47,1,0
11.7,0,8,79.84,596,-38,-0.9,53,1,0
11.3,0.7,0,55.34,144,-137,-55.3,51,1,1
75,0,668,349.73,3252,-435,-144.3,47,1,0
30,0.3,118,93.06,2008,-351,-12.1,47,1,0
44.3,0,1887,300.22,4830,-932,-75,51,1,0
22.3,0,360,163.38,1054,-918,-67.4,49,1,0
3.3,0,0,39.99,214,150,0,53,1,0
9.7,1.7,36,33.85,323,-323,-83.8,47,3,1
6,0.3,0,84.52,852,84,0.2,51,6,0
21,0,11,93.97,1218,-114,7.8,49,1,1
26.7,0.3,19,109.49,1638,-403,-18.3,49,1,0
7.3,0,164,144.23,1333,93,-58.3,53,1,0
17.7,0,0,150.36,1141,76,49.2,53,1,0
25,0,102,102.47,1656,-444,-26.5,51,1,0
2.7,0,0,78.08,524,-81,2.2,53,1,0
12,0,0,69.32,415,-121,-9,47,1,1
11.3,0,348,89.05,1615,37,4.3,51,1,1
15,0,700,276.15,1680,-709,-126.2,53,1,0
0,0,0,5.04,0,0,0,47,1,1
1,0,0,12.21,126,-16,-12.2,47,1,0
0,0,0,40.24,420,-94,-0.2,53,1,0
0.3,0,0,53.42,77,-70,-23.5,53,1,1
12,0,38,43.63,477,-131,-13,47,3,0
14,0,5,97.85,794,-44,-5.8,51,6,0
3,1,0,34.99,419,-22,0,53,1,1
12,1.7,0,92.3,930,351,5.8,49,3,0
0.7,0,0,30.32,94,46,0.7,53,1,1
10.3,0,0,51.18,312,-46,-0.2,47,1,0
20.7,1,389,180.81,1412,120,27.1,47,1,0
0,0,0,25.05,16,34,0.2,53,1,0
0.3,0,0,25.93,2,-1,-8.9,47,1,0
6,0.3,650,236.02,1494,770,169,47,1,0
12.3,0,30,84.81,1065,-29,-8.8,53,1,0
41.7,0,8,110.73,2119,-294,27.1,47,1,0
10.7,2.7,22,81.37,995,42,-6.4,49,6,0
0,0,216,195.16,2571,-475,-34,47,6,0
33.7,0.7,86,101.17,984,-736,-22.5,49,3,0
0,0,18,85.53,1023,-31,-6.6,51,1,0
0.7,0,0,20.18,8,-1,-0.2,47,3,0
2,0,103,88.38,560,-560,-13.4,51,1,1
88.3,0,4321,559.79,6336,136,97.3,51,1,0
10.3,2,209,83.36,1059,-255,-18.2,47,4,1
3.3,0,0,30,119,34,0,49,1,0
5,0,0,74.77,264,-72,-18.8,53,3,0
1,0,0,20.33,26,-26,-0.3,47,4,1
9.3,0,0,75.73,411,92,13.5,49,1,0
1.7,0,17,41.03,220,100,18.1,51,1,0
10.3,0,0,96.34,750,92,3.4,51,1,0
8.7,0,127,126.21,395,-3,-74.6,49,2,0
29,0,184,77.86,1567,-96,15.4,49,1,0
50.3,6.7,48,91.36,934,148,7.4,47,1,0
0,0,0,20.24,0,0,0,49,3,0
12.7,0,90,64.88,637,-119,-7.9,51,1,0
51,2.7,121,62.12,765,109,3.9,49,1,0
1.3,0,2,56.9,166,-24,-1.9,47,1,0
0,0,0,23.86,67,-38,-4.5,53,3,1
0,0,170,109.33,2221,-733,-40.6,49,3,0
1.3,0,1,54.37,191,83,-13.6,47,6,0
46.7,0.7,992,219.95,3142,347,31,53,1,0
4.7,0,0,54.99,292,132,4.3,51,1,0
0,0,0,35,0,0,0,53,4,1
3,0,0,30,131,183,0,51,1,1
26.7,9.7,176,155.38,2777,-38,-40.8,51,3,0
0,0,0,5,0,0,0,53,1,1
11.3,0,7,64.39,545,-144,-4.4,53,1,0
17.3,0.3,4,69.01,682,77,4.7,51,1,0
1,0.7,6,31.93,377,-238,-1.9,53,2,0
17.7,0,170,131.18,1038,244,-3.7,51,1,0
1.3,0,18,36.25,39,-18,-9.2,51,1,1
0,0,0,312.26,2468,-321,-1.1,53,3,0
12,0,105,100.71,503,-284,-50.7,47,1,0
2.7,2.3,145,93.91,1222,130,45,53,4,0
5.7,0,0,29.99,149,83,0,51,3,0
54,1.3,134,124.09,2075,-144,3.1,46,1,1
0,0,0,31.79,8,-8,-1.8,53,4,0
16,0,124,68.09,1202,-95,-5,46,1,1
0,0,218,108.84,2021,317,9.7,46,4,0
10,0,13,72.62,690,12,-12.7,50,3,1
2.7,0,162,103.76,746,-723,-130.9,52,4,0
41,7,0,177.81,1791,-368,-57.8,46,3,0
29,1,807,226.87,2628,-164,-64.1,50,2,1
8,1,0,85.18,688,187,0.1,48,4,0
50.7,11.7,643,255.54,1943,-20,-115.1,50,6,0
38,0,0,84.35,1199,-149,-7.9,50,1,1
100.3,9,962,265.67,2613,-154,-52,46,1,0
2.3,0,0,41.99,36,-16,0,52,4,1
5,0,2,21.61,186,14,9.4,52,4,0
39.3,0,808,358.85,2326,36,7.5,46,1,1
1.7,0,0,30.26,148,24,-0.3,46,1,0
4,0,108,80.26,297,-67,-27.8,50,1,1
6.7,0,57,64.25,575,-35,-7.5,48,1,1
44,0.3,978,215.72,2912,124,-16.9,48,1,0
20.3,0.7,0,80.94,438,60,1.1,52,1,0
0,0,0,50.49,40,-40,-0.5,52,1,1
4,0,0,33.6,172,70,-1.6,52,1,0
7.3,0,0,58.74,735,-29,-0.5,46,6,0
9.3,0.7,132,128.1,842,-291,-38.2,46,1,0
0,0,0,7.74,0,0,-7.7,48,3,0
31,1.3,29,62.95,461,125,33.6,50,1,0
9.3,0.3,113,79.25,680,-142,-29.3,46,1,0
10.3,0.3,0,131.3,1262,233,-7.6,50,1,0
10,0.3,8,20.68,465,-48,-3.5,48,1,0
6,0,16,38.75,366,-54,-5.3,50,1,0
57,0,32,71.64,455,-189,-13.7,50,3,0
4,0.7,61,96.01,981,636,91.4,46,3,0
9.3,0,0,85.56,1344,-195,11.4,52,1,0
20.7,0,0,71.59,2584,-135,1.4,48,3,0
24.7,0,2,82.73,868,-41,2.4,52,1,0
33.3,0,112,106.57,969,-844,-78.2,52,3,1
5.3,0.7,19,36.83,328,-141,-6.8,46,1,1
8,0.3,0,55,358,160,0,48,2,0
16.3,0,7,64.81,842,26,-3.6,48,1,1
3.7,0,151,95.1,818,597,40.4,48,1,0
15.7,0.7,0,140.74,2072,-117,-24.2,52,2,0
16,0,0,112.34,938,-54,-24.7,48,3,0
6.7,0,0,79.28,658,42,0,48,4,0
0,0,0,30,81,70,0,52,1,1
4,0,0,43.74,82,16,-8.7,48,1,0
3,0,0,40,108,47,0,48,1,1
5.7,0,14,58.38,598,-153,-58.4,48,4,1
8.3,0.7,202,174.01,569,-54,-66.8,46,1,1
26,0,363,217.64,1995,24,21.9,50,2,0
4.3,0,76,69.61,457,30,0,46,3,0
5.3,0,0,62.31,430,-228,-3.5,48,1,0
19,0,0,91.15,1072,24,-13.2,48,1,0
2.3,0,3,26.73,33,5,1.8,46,1,1
3.3,0,7,36.34,247,154,14.1,52,1,0
1,0,0,57.59,187,-102,-22.2,52,1,0
2.7,0,41,102.22,282,-280,-53.5,46,1,1
1.3,0,0,37.6,148,-46,-1.6,52,1,0
6,0.7,4,12.4,240,-14,-2.7,50,5,0
1.3,0,0,53.24,69,-19,0,50,1,1
5.3,1,112,82.58,586,229,-6.4,46,2,0
5.3,1,6,117.21,339,-131,-76.6,50,6,1
16.3,2,29,71.62,368,-226,-18.4,46,6,1
0.7,0,3,37.19,116,-44,-3.9,50,3,0
8,0.3,0,75.11,374,111,0.3,48,1,1
2,0,0,37.61,75,34,0.6,46,1,0
6,0,41,59.6,533,-20,-10.1,46,1,0
17.7,0,0,156.87,1392,-90,1,50,1,1
3,0,0,15.56,79,-38,-5.6,52,1,0
9.3,3,78,64.95,411,-347,-71.7,50,1,0
15.3,0,91,92,660,-20,-28,46,3,0
2.7,0,4,44.2,196,6,8.6,48,1,1
16.3,0.3,0,50.09,1114,323,-0.1,52,3,1
3.7,0,0,118.5,185,41,5.4,48,1,0
8.7,0,130,84.05,647,208,43.9,52,1,0
22.7,0,4,80.3,2445,-438,-1.1,46,3,0
6,0,20,60.48,514,-116,-1.1,46,1,0
3.3,0,17,89.94,169,-132,-5,45,1,0
15.3,0,0,102.47,1155,-117,-1.7,52,1,0
0,0,0,17.14,0,0,-0.2,45,1,0
0.3,0,0,39.92,28,-19,-30.2,52,1,1
4,0,0,28.75,96,48,-0.3,45,1,0
9,0,68,45.85,400,16,9.4,45,1,0
2,0,0,78.05,410,-134,0.2,51,1,0
9,0,158,79.56,565,75,10.2,49,1,1
25.3,0.7,0,77.34,644,-344,-27.4,47,1,0
2,0.3,69,36.97,84,-84,-56.3,49,4,1
12.3,0,8,51.99,353,-57,-15,49,1,0
22,0,82,65.11,629,-29,4.6,47,3,0
0.7,0,0,34.26,68,-9,-0.3,45,1,0
0.7,0,1,20.38,9,27,1.2,49,1,0
4,0,0,80.39,532,-152,-6.4,45,1,0
5.3,0,13,55.04,389,-47,-5.6,51,1,1
5.7,2,92,81.87,600,189,-28.9,47,1,0
4.7,0,3,46.54,607,-148,-1.4,49,4,0
16,0,20,90.72,760,-362,-4.7,51,1,0
0,0,0,40.35,78,30,-0.4,45,4,0
0.7,0,6,32.36,144,-51,-1.7,47,1,0
7.7,0,146,99.48,730,448,130.3,49,2,1
9.7,0,10,74.44,392,-392,-73.6,47,3,0
5,0,4,32.23,124,-103,-2.2,45,5,0
4,0,134,131.07,238,-89,-55.9,45,1,0
7,0,11,37.02,295,-153,-5.5,47,1,1
0,0,0,30.34,28,4,-0.3,51,1,0
5.7,0.7,18,73.19,611,83,25.7,49,1,0
7,0,0,66.29,368,-73,-6.3,51,1,0
9,3.3,0,35.19,623,468,0.6,49,3,0
38.7,0,234,218.86,1428,435,10.9,49,3,0
14.7,5,314,144.56,2509,-2441,-149.7,51,5,0
2.7,1.3,52,60.55,83,68,18.9,45,1,0
7.7,1,47,73.47,626,-507,-53.5,45,3,0
0,0.7,0,11.62,1,-1,-1.6,45,2,1
9,14.3,150,127.93,934,44,-15.3,47,5,0
1.3,1,0,46.75,167,146,3.5,47,4,0
32.3,3.3,32,61.88,586,-74,-7.6,45,1,0
0.3,0,0,10.56,24,20,0.3,45,1,0
6.7,0,0,50.6,311,6,-0.6,45,1,0
12,0,0,98.16,1152,489,5.7,49,1,0
0.3,0,0,30.19,39,2,-0.2,51,3,0
15.3,0.7,44,105.57,815,270,20.7,45,1,0
38,19.3,359,222.69,1563,1536,277.2,45,3,0
0,0,0,83.46,785,48,9.4,45,1,0
0,0,0,60,0,0,0,49,3,1
0,0,817,208.28,3626,411,49.5,47,1,0
3.7,1.3,2,66.39,490,67,-13.3,47,1,1
12,0,178,127.59,1179,-346,-67.6,51,1,0
1.3,0,0,31.41,70,8,3.2,45,1,0
42,5.3,101,120.42,1298,11,-78.9,49,4,0
13.3,3,0,35.24,892,2,-0.2,49,1,0
0,0,0,39.99,0,0,0,51,4,1
8.7,9,63,191.79,615,54,-129.6,47,3,0
14.3,6.7,4,36.39,944,363,4.2,51,1,0
31.7,5.3,26,80.05,1288,10,11.9,51,3,0
6,6.7,14,85.17,881,66,-5.2,49,1,0
69.7,0,1,74.89,648,20,-0.9,47,6,1
36.3,0,285,150.5,817,301,85,47,1,0
1,0,0,75.67,274,-84,-0.7,45,3,0
4,0,0,29.99,107,-29,0,47,1,0
19.3,1.7,253,143.91,1996,642,90.8,49,1,1
3.3,0,40,31.57,122,74,23,45,1,0
4,0,23,38.13,138,56,17.4,49,1,1
5.3,0,0,32.89,46,0,-32.9,47,1,0
13.7,10.7,88,132.46,1148,390,103.8,49,3,0
0,0,0,50.07,2,6,1.9,45,4,0
65.7,20,40,60.19,939,-147,-9.2,47,1,0
4.3,0,126,82.01,811,-89,-30.2,45,3,0
3.3,0,24,46.85,564,78,-43.1,51,1,1
2.3,0,0,27.98,49,13,-11,44,1,1
42.3,0,418,178.4,2433,20,-26.9,44,1,1
25.3,0,84,177.48,1938,135,-29,48,4,0
1.7,0,0,29.99,70,-34,0,50,1,1
